saledate,bedrooms,MA,type
2007-03-31 00:00:00+04:00,2,421291.0,house
2007-06-30 00:00:00+04:00,2,421291.0,house
2007-09-30 00:00:00+04:00,2,441854.0,house
2007-12-31 00:00:00+03:00,2,441854.0,house
2008-03-31 00:00:00+04:00,2,441854.0,house
2008-06-30 00:00:00+04:00,2,441854.0,house
2008-09-30 00:00:00+04:00,2,451583.0,house
2008-12-31 00:00:00+03:00,2,440256.0,house
2009-03-31 00:00:00+04:00,2,442566.0,house
2009-06-30 00:00:00+04:00,2,446113.0,house
2009-09-30 00:00:00+04:00,2,440123.0,house
2009-12-31 00:00:00+03:00,2,442131.0,house
2010-03-31 00:00:00+04:00,2,459222.0,house
2010-06-30 00:00:00+04:00,2,456822.0,house
2010-09-30 00:00:00+04:00,2,457806.0,house
2010-12-31 00:00:00+03:00,2,459109.0,house
2011-03-31 00:00:00+04:00,2,460758.0,house
2011-06-30 00:00:00+04:00,2,464788.0,house
2011-09-30 00:00:00+04:00,2,467546.0,house
2011-12-31 00:00:00+04:00,2,470333.0,house
2012-03-31 00:00:00+04:00,2,470365.0,house
2012-06-30 00:00:00+04:00,2,469149.0,house
2012-09-30 00:00:00+04:00,2,465919.0,house
2012-12-31 00:00:00+04:00,2,463090.0,house
2013-03-31 00:00:00+04:00,2,451077.0,house
2013-06-30 00:00:00+04:00,2,451516.0,house
2013-09-30 00:00:00+04:00,2,454270.0,house
2013-12-31 00:00:00+04:00,2,456548.0,house
2014-03-31 00:00:00+04:00,2,469920.0,house
2014-06-30 00:00:00+04:00,2,472726.0,house
2014-09-30 00:00:00+04:00,2,475326.0,house
2014-12-31 00:00:00+03:00,2,478413.0,house
2015-03-31 00:00:00+03:00,2,478398.0,house
2015-06-30 00:00:00+03:00,2,477238.0,house
2015-09-30 00:00:00+03:00,2,477330.0,house
2015-12-31 00:00:00+03:00,2,479010.0,house
2016-03-31 00:00:00+03:00,2,482440.0,house
2016-06-30 00:00:00+03:00,2,486436.0,house
2016-09-30 00:00:00+03:00,2,489104.0,house
2016-12-31 00:00:00+03:00,2,491152.0,house
2017-03-31 00:00:00+03:00,2,494544.0,house
2017-06-30 00:00:00+03:00,2,498846.0,house
2017-09-30 00:00:00+03:00,2,504592.0,house
2017-12-31 00:00:00+03:00,2,506578.0,house
2018-03-31 00:00:00+03:00,2,507248.0,house
2018-06-30 00:00:00+03:00,2,506116.0,house
2018-09-30 00:00:00+03:00,2,504318.0,house
2018-12-31 00:00:00+03:00,2,506001.0,house
2019-03-31 00:00:00+03:00,2,496133.0,house
2019-06-30 00:00:00+03:00,2,500158.0,house
2019-09-30 00:00:00+03:00,2,510712.0,house
